code,country,gdp_pc,lfp_ratio,tertiary_gpi,tfr,gdp_pc_year,lfp_ratio_year,tertiary_gpi_year,tfr_year,men_unpaid_min,women_unpaid_min,men_share_unpaid_pct,tertiary_parity,public_parity,private_parity,mismatch,log_gdp,nonmarital_pct,nonmarital_year,mismatch_c,nonmarital_pct_c,log_gdp_c,predicted_tfr,residual
ESP,Spain,48460.2914069661,84.7972326723203,1.23163998126984,1.1,2024,2024,2024,2024,145.9093127,289.1279055,33.5395011267567,123.163998126984,103.98061539965217,67.0790022535134,36.90161314613876,10.788500007702954,49.95528874714692,2023,2.9289316282946345,9.90088212644033,-0.11993727491708484,1.4180091454429857,-0.31800914544298564
GRC,Greece,37474.2798239947,74.7298889681842,1.0673600435257,1.24,2024,2024,2023,2024,97.0,260.0,27.17086834733893,106.73600435257,90.73294666037712,54.34173669467787,36.39120996569924,10.531410105280996,9.688557032379402,2023,2.418528447855117,-30.365849588327194,-0.377027177339043,1.1520956860351488,0.08790431396485121
GBR,United Kingdom,53412.0647163589,87.3440799769064,1.27330994606018,1.551,2024,2024,2023,2024,140.081795190296,248.632290190633,36.03723159479023,127.330994606018,107.3375372914622,72.07446318958046,35.26307410188174,10.885791930447674,47.6,2024,1.290392584037619,7.545593379293408,-0.022645352172364852,1.4052602722857637,0.14573972771423627
SVN,Slovenia,48658.0265180267,83.2303046592149,1.34330999851227,1.52,2024,2024,2023,2024,166.462395543175,286.198749131341,36.77417368412945,134.330999851227,108.78065225522096,73.5483473682589,35.232304886962055,10.79257205895993,56.54246865618931,2023,1.2596233691179322,16.488062035482713,-0.11586522366010854,1.4648079984439686,0.055192001556031434
LUX,Luxembourg,128475.283540415,87.5372046407095,1.15877997875214,1.25,2024,2024,2024,2024,121.075181416472,239.61742768193,33.56741401469665,115.877997875214,101.70760125796176,67.1348280293933,34.57277322856845,11.76349181882756,38.95569620253165,2023,0.6000917107243282,-1.0987104181749459,0.8550545362075219,1.34881075510518,-0.09881075510518
EST,Estonia,41185.8348356109,87.2521649954421,1.33996999263763,1.18,2024,2024,2024,2024,139.187715531909,209.36915508837,39.93256976521956,133.996999263763,110.62458212960254,79.86513953043912,30.75944259916342,10.625849661550165,53.7948671111517,2023,-3.2132389186807018,13.740460490445109,-0.2825876210698741,1.4548920995593928,-0.27489209955939287
FRA,France,54799.3482689389,86.4381594764258,1.24828994274139,1.61,2024,2024,2024,2024,134.939453321805,224.030847649372,37.590701224232966,124.828994274139,105.6335768752824,75.18140244846593,30.45217442681647,10.91143357996281,58.4979648638648,2023,-3.5205070910276532,18.443558243158208,0.0029962973427721806,1.4872735966339177,0.12272640336608243
BEL,Belgium,63311.2766917178,84.269283955614,1.27315998077393,1.44,2024,2024,2023,2024,144.172378478972,237.322972016499,37.79138547605538,127.315998077393,105.7926410165035,75.58277095211076,30.20987006439273,11.055818739054605,52.4,2018,-3.7628114534513912,12.345593379293405,0.1473814564345659,1.4464785468438488,-0.006478546843848854
AUT,Austria,63787.9891749462,84.1529722669421,1.23399996757507,1.31,2024,2024,2024,2024,138.51473,237.79821,36.80838878407954,123.399996757507,103.77648451222456,73.61677756815908,30.15970694406548,11.06332019416424,40.019328651504416,2023,-3.812974573778643,-0.03507796920217743,0.15488291154420075,1.3627573167962839,-0.052757316796283815
HUN,Hungary,40747.1986679668,80.4763665951624,1.21092998981476,1.41,2024,2024,2024,2024,162.341045980129,293.767324683589,35.592647805146434,121.092998981476,100.7846827883192,71.18529561029287,29.599387178026333,10.615142371961635,24.42312737393209,2023,-4.3732943398177895,-15.631279246774504,-0.2932949106584033,1.2578449880400977,0.15215501195990222
